"Ticker","Nome","Negócios","Última (R$)","Variação"
"MRSA5B","MRS Logística","800","29,00","+3,57%"
"MWET4","Wetzel","700","11,00","-3,51%"
"CTSA4","Santanense","700","1,08","+2,86%"
"TEKA4","Teka","600","29,00","-1,69%"
"TELB3","Telebras","600","12,95","+3,52%"
"BALM4","Baumer","600","10,26","+2,60%"
"EKTR4","Elektro","500","45,44","+0,02%"
"AFLT3","Afluente T","500","7,21","+0,00%"
"BAZA3","Banco da Amazônia","400","89,51","-1,31%"
"ENMT4","Energisa MT","400","84,90","-0,01%"
"CLSC3","Celesc","400","75,95","-2,74%"
"OFSA3","Ourofino Saúde Animal","400","22,40","+1,82%"
"BSLI3","Banco de Brasília","400","8,50","+0,00%"
"BSLI4","Banco de Brasília","400","8,38","+3,71%"
"ESTR4","Estrela","400","3,50","-5,15%"
"PATI4","Panatlântica","300","35,00","+0,00%"
"BRSR5","Banrisul","300","17,94","+0,00%"
"CPLE5","Copel","300","11,40","-0,87%"
"PPLA11","PPLA","298","1,95","+11,43%"
"BMKS3","Monark","219","307,60","-0,13%"
"CGAS5","Comgás","200","129,97","-1,90%"
"TKNO4","Tekno","200","83,00","-2,35%"
"ENMT3","Energisa MT","200","82,98","+3,76%"
"PTNT3","Pettenati","200","9,02","+1,92%"
"IGTI4","Iguatemi","200","8,83","+3,64%"
"IGTI4","Jereissati Participações","200","8,83","+3,64%"
"PLAS3","Plascar","200","6,19","+3,17%"
"BIOM11","Biomm","200","0,75","-1,32%"
"CGAS3","Comgás","100","128,00","-0,46%"
"BMEB3","Banco Mercantil do Brasil","100","36,00","+0,00%"
"GEPA4","Rio Paranapanema Energia","100","29,75","-1,52%"
"CEDO4","Cedro Têxtil","100","24,10","+3,12%"
"FESA3","Ferbasa","100","12,59","-0,08%"
"CBEE3","Ampla Energia","100","11,43","-12,01%"
"SNSY3","Sansuy","100","11,40","+4,01%"
"BRKM6","Braskem","100","11,03","+0,00%"
"MGEL4","Mangels","100","7,50","+0,00%"
"HETA4","Hercules","100","6,48","+7,82%"
"DASA11","DASA11","100","0,95","-6,86%"
"MNDL3","Mundial","1.700","15,82","+0,00%"
"CRPG6","Tronox Pigmentos","200","25,49","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","200","16,10","+0,62%"
"EMAE4","EMAE","100","40,99","+0,74%"
"MRSA6B","MRS Logística","100","29,99","+0,00%"
"NORD3","Nordon","100","7,50","+0,00%"
"BAUH4","Excelsior","900","78,75","-0,16%"
"LUXM4","Trevisa","500","12,49","-0,08%"
"BALM3","Baumer","300","13,00","+0,00%"
"PATI3","Panatlântica","200","27,00","-6,90%"
"CEDO3","Cedro Têxtil","200","22,00","-12,00%"
"MOAR3","Monteiro Aranha","100","411,00","+2,75%"
"PEAB4","Participações Aliança da Bahia","100","46,00","-2,13%"
"GEPA3","Rio Paranapanema Energia","100","33,50","+7,72%"
"BDLL4","Bardella","100","9,00","+0,00%"
"PSVM11","PORTO VM","3.500","5,33","-0,19%"
"PINE11","Banco Pine","700","6,50","-11,56%"
"BNBR3","Banco do Nordeste","200","99,83","+6,18%"
"EMAE3","EMAE","200","70,00","+20,25%"
"CALI3","Adolpho Lindenberg","100","25,00","-3,85%"
"BMIN3","Banco Mercantil de Investimentos","100","20,70","-5,82%"
"FIEI3","Fica","100","11,00","+7,32%"
"MWET3","Wetzel","100","9,53","+1,28%"
"CTKA4","Karsten","100","19,00","-2,01%"
"DTCY3","Dtcom","100","4,10","+0,00%"
"HBTS5","Habitasul","200","30,99","+6,83%"
"GSHP3","General Shopping & Outlets","1.600","7,50","-7,06%"
"AHEB3","São Paulo Turismo","100","38,00","+0,00%"
